City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Pitimbu,BR,-7.4706,-34.8086,73.99,84,12,8.41,few clouds
251,Rodbyhavn,DK,54.6544,11.352,63.1,90,100,10.49,overcast clouds
252,Hwange,ZW,-18.3693,26.5019,48.96,71,0,3.18,clear sky
253,Naze,JP,28.3667,129.4833,79.23,84,57,11.99,broken clouds
254,Ruteng,ID,-8.6136,120.4721,76.57,47,44,1.19,scattered clouds
255,Narsaq,GL,60.9167,-46.05,44.82,72,99,3.8,overcast clouds
256,Chichihualco,MX,17.6833,-99.65,65.01,95,99,4.61,overcast clouds
257,Rawson,AR,-43.3002,-65.1023,40.62,69,20,10.13,few clouds
258,Mana,GF,5.6592,-53.7767,76.86,89,13,8.46,few clouds
259,Marshall,US,34.3834,-86.3333,79.12,79,1,0.0,clear sky
260,Porto Recanati,IT,43.4365,13.6613,76.87,51,56,1.25,broken clouds
261,Masuguru,TZ,-11.3667,38.4167,63.32,83,22,3.31,few clouds
262,Kostomuksha,RU,64.571,30.5767,64.26,55,20,2.59,few clouds
263,Cairns,AU,-16.9167,145.7667,86.07,67,90,11.5,overcast clouds
264,Buluang,PH,13.3068,123.3425,87.08,70,89,16.13,overcast clouds
265,Cabo San Lucas,MX,22.8909,-109.9124,86.61,73,6,1.99,clear sky
266,Ayan,RU,56.45,138.1667,63.01,84,26,15.75,scattered clouds
267,Pevek,RU,69.7008,170.3133,39.33,84,97,11.86,overcast clouds
268,Lompoc,US,34.6391,-120.4579,67.57,84,90,5.75,overcast clouds
269,Aktash,RU,50.3,87.7333,49.62,83,91,3.89,overcast clouds
270,Matagami,CA,49.7502,-77.6328,54.0,71,100,0.76,overcast clouds
271,Mangrol,IN,21.1167,70.1167,82.26,84,100,22.82,overcast clouds
272,Coro,VE,11.4045,-69.6734,77.32,89,82,11.05,broken clouds
273,Hambantota,LK,6.1241,81.1185,85.24,68,100,19.53,overcast clouds
274,Gurupa,BR,-1.405,-51.64,73.62,86,6,3.2,clear sky
275,Samarai,PG,-10.6167,150.6667,79.18,86,89,13.02,moderate rain
276,Buta,CD,2.7858,24.73,70.54,93,99,1.5,overcast clouds
277,Sisimiut,GL,66.9395,-53.6735,48.74,76,47,1.16,scattered clouds
278,Giyani,ZA,-23.3025,30.7187,51.6,61,0,4.88,clear sky
279,Longyearbyen,SJ,78.2186,15.6401,42.64,93,75,10.36,broken clouds
280,Port Pirie,AU,-33.1833,138.0167,60.89,56,33,14.7,scattered clouds
281,Cap-Aux-Meules,CA,47.3821,-61.8597,62.73,89,100,7.83,overcast clouds
